# h        omch2      ombh2      ln(10^10*As)    ns    tau
0.65046768 0.07111053 0.02122458 2.26840969 0.81007228 0.24936671
0.60265282 0.05115284 0.01770306 3.82118335 0.98848210 0.12432869
0.66929507 0.11983695 0.02720174 3.00679755 0.97777407 0.17017718
0.78311963 0.08443128 0.02888218 2.14487731 0.97476233 0.15142279
0.68162625 0.09990988 0.02190128 3.53596785 1.07568095 0.21486869
0.66203821 0.15735986 0.02056296 3.60290050 0.91735345 0.12567177
0.68417419 0.19379956 0.01623914 3.94780731 1.03811141 0.11629087
0.78400491 0.16616326 0.02650705 2.89915106 1.04046282 0.20070378
0.61593302 0.16562545 0.01324242 3.42390179 1.06626229 0.19850855
0.72704635 0.05399961 0.01477458 3.01828978 0.81390247 0.24384921
0.78653211 0.13759363 0.01399161 3.63594634 0.87386178 0.10044460
0.71912466 0.13898282 0.01654204 3.48193574 0.90431219 0.24485172
0.71345399 0.06958860 0.02262277 2.20403804 0.90669013 0.08537146
0.75138181 0.11921005 0.02045360 2.22160191 1.00301516 0.18754926
0.66124706 0.09751220 0.02956656 3.21294589 0.84597391 0.13850427
0.68270726 0.07190719 0.02554597 2.22776494 1.08021405 0.06193687
0.65301559 0.17884309 0.02235369 3.54721631 1.09097536 0.09683988
0.63360586 0.08106954 0.02674718 2.42149990 0.97403367 0.01100232
0.65768636 0.11322612 0.02653378 2.63411857 0.99905664 0.18433935
0.72410415 0.18603857 0.02691415 3.79007565 1.01654579 0.10139171
0.73571990 0.10804649 0.02936794 3.29534476 1.06469677 0.20192545
0.62890161 0.12612259 0.02766687 3.10042437 0.86686570 0.20017120
0.68627273 0.06523421 0.02093498 3.59207079 0.96951789 0.14287113
0.74767792 0.10701792 0.01587688 2.27940722 0.82008073 0.17520540
0.71126520 0.11584117 0.02006241 3.90484626 0.90467841 0.08667673
0.68970683 0.09131626 0.02016403 2.00291709 1.08156574 0.11209122
0.79860063 0.06158956 0.02755269 3.20794092 0.81754058 0.15208938
0.70822912 0.08292586 0.01436880 3.33766374 1.06263173 0.03763506
0.65210622 0.11093693 0.02677911 3.15224480 1.01555766 0.19739552
0.68654643 0.10035609 0.02417356 2.59576570 0.89167534 0.01664232
0.69809277 0.05636754 0.02968482 2.97950764 0.90350620 0.04696278
0.62204155 0.17029689 0.01558250 2.31326410 0.91904014 0.03381659
0.78073836 0.18449654 0.01205764 2.09527444 1.01999067 0.07673587
0.71553546 0.07810187 0.01299989 3.80520317 0.87533759 0.22253604
0.60761611 0.09491592 0.01943568 3.54336630 0.81259295 0.10755467
0.70559062 0.12145579 0.02011946 2.84309629 0.97144213 0.09591547
0.75840498 0.17459212 0.02498212 3.18562693 1.03135115 0.17092240
0.74211240 0.18235964 0.01075740 3.08529661 0.80678587 0.18547522
0.77483155 0.10614539 0.01833294 2.99437103 0.82276344 0.02993662
0.61474848 0.13318666 0.02148423 2.82741761 1.06321805 0.03128425
0.65129551 0.17840084 0.02758192 2.91171896 0.90810234 0.08187999
0.62306253 0.15499726 0.02778234 2.79775028 0.94000250 0.13421637
0.77898458 0.11889776 0.01581788 3.52089663 0.95894704 0.22920513
0.74356242 0.12345895 0.01680709 3.17330833 0.89578162 0.16722338
0.60925779 0.05153686 0.01981363 2.52498877 0.99283012 0.02587687
0.69730196 0.17642166 0.01719691 3.27387733 0.86000857 0.20281832
0.64630083 0.09835122 0.02314733 3.67256254 1.04581133 0.03533370
0.68476020 0.09947662 0.02165429 3.31859913 0.86540806 0.18783926
0.76623029 0.15740294 0.02930541 2.30423239 0.83431779 0.20705185
0.63683753 0.05142095 0.01108923 2.25003062 1.07073284 0.22941954
0.77628144 0.14498782 0.01129663 3.59154935 0.83641870 0.14853046
0.60897816 0.14159623 0.02747135 3.25565801 1.07887538 0.11228821
0.62002012 0.19050549 0.01665719 3.41321281 0.82923845 0.16494174
0.66873357 0.15577819 0.02078765 3.30158670 1.05179738 0.18275258
0.63917914 0.06016134 0.01606484 3.74409687 0.99165423 0.18229255
0.70452577 0.15526307 0.02998664 3.76327460 0.95442636 0.07985557
0.76799866 0.08975639 0.01968843 2.49441198 0.92915382 0.19150989
0.68525452 0.08956821 0.01187835 3.92812432 0.99641484 0.13900626
0.74518361 0.15375614 0.01080220 2.08053123 1.08530010 0.16895202
0.68501637 0.12115602 0.01387024 2.11049885 1.07774455 0.19815508
0.72093747 0.05222974 0.01068895 3.57062929 0.97733613 0.22134114
0.68732223 0.19123206 0.02352909 2.59616646 1.06543820 0.23106020
0.74988731 0.13728148 0.02278593 2.39375228 0.95918082 0.09152441
0.66667649 0.12887580 0.01805331 2.08518788 1.05243232 0.12393760
0.62252848 0.16379512 0.01577152 3.92142227 1.06036474 0.05262567
0.72349622 0.12508301 0.01739147 2.02981327 0.92704436 0.04354398
0.73814377 0.15044956 0.02576190 3.82767781 0.82770531 0.21248651
0.64871905 0.17806619 0.01627584 2.40675446 1.03965813 0.05201016
0.64705953 0.11407343 0.01425397 3.65925642 0.81321028 0.24098331
0.62869076 0.16681001 0.01025975 2.77506801 1.08480988 0.06724289
0.74658282 0.11430307 0.02742898 3.81142954 0.84552500 0.12726123
0.67354387 0.17171091 0.01521189 2.96750184 0.89085941 0.22635907
0.60229333 0.17093303 0.01909447 2.45340559 1.02384743 0.17618176
0.71394983 0.11792021 0.01209125 3.01327545 0.84809840 0.04884210
0.79187170 0.19727108 0.01799116 2.36549199 0.99450315 0.19931372
0.76382309 0.10821165 0.02434219 3.99749097 1.00591693 0.01554771
0.74835197 0.15156010 0.02972255 2.37697069 0.92215765 0.22874950
0.64289640 0.14319081 0.02847045 3.16250353 1.03923200 0.08493087
0.66367850 0.17680180 0.01762370 3.72954245 0.85097837 0.06028474
0.69174434 0.08724912 0.01686949 3.17810872 1.00837795 0.07251847
0.64723288 0.06038466 0.01976078 2.19855358 1.03742481 0.21502704
0.70243579 0.09876071 0.01530381 2.03816091 1.01454561 0.04761170
0.79902981 0.10978844 0.01174623 3.85983979 0.98948647 0.02701779
0.73399240 0.07176872 0.02641567 2.16841523 0.85490638 0.06397151
0.77076490 0.09893929 0.02982800 3.52721897 0.91816638 0.13776148
0.72178416 0.05045355 0.02090048 3.77897265 1.02953791 0.15946922
0.60398574 0.09403502 0.01451851 2.80099526 1.01087305 0.13199477
0.76843779 0.14466450 0.02596117 3.04717230 0.92037549 0.08274393
0.66735938 0.10312586 0.02068560 2.60328333 1.01350403 0.19542154
0.62059616 0.14938164 0.01305150 3.04962528 0.98058730 0.09530122
0.62337386 0.10532801 0.01127917 3.70802641 0.85223484 0.03241987
0.61549839 0.09698372 0.01506873 2.47301746 0.96105256 0.16266239
0.64453701 0.16972848 0.01100608 2.52979633 0.94983043 0.14435595
0.69533405 0.13595230 0.01440757 3.95378398 0.81309814 0.04052369
0.61371553 0.12537340 0.02062434 3.58336922 0.85144784 0.23245729
0.62643246 0.08992875 0.02751155 3.61711899 1.06133357 0.07526764
0.66637717 0.08798838 0.01060405 3.81805308 0.88608334 0.10335070
0.76477487 0.19543362 0.02054546 3.93428465 0.98169147 0.16593967
0.72290131 0.11256685 0.02475250 2.41082794 0.98655340 0.16407356
0.79951053 0.09167306 0.02901835 2.04414937 0.89745780 0.05721795
0.64201233 0.08877164 0.02878296 2.70294658 0.91409950 0.05618533
0.61220644 0.06351403 0.02080697 3.90833289 0.89234986 0.15537700
0.71684167 0.06634015 0.02197495 2.56689502 0.99859514 0.18681021
0.74866779 0.14063302 0.01233847 2.22827391 0.94065156 0.05770491
0.79643628 0.17076870 0.02031974 3.62208775 0.89664359 0.14077119
0.63574635 0.18727175 0.01317046 3.56215544 0.98493721 0.07766101
0.76829809 0.05006396 0.02820345 2.73046910 0.99235088 0.08135638
0.70149999 0.18036002 0.01222964 3.76706196 0.94863266 0.18847327
0.78978051 0.17358471 0.01140236 3.10567943 1.04782246 0.17360634
