# h        omch2      ombh2      ln(10^10*As)    ns    tau
0.67669363 0.11320311 0.02582653 3.28525944 0.86899299 0.17524927
0.79999843 0.16028683 0.01979829 2.94688841 1.09164335 0.01091827
0.72567396 0.07849024 0.02339127 3.57315507 1.00385922 0.10588123
0.64768471 0.18563368 0.01223386 2.16351021 0.93119707 0.21154547
0.61692536 0.06471714 0.01691452 2.33249388 0.88455592 0.14275392
0.70663946 0.17127724 0.02871061 3.93163812 0.96189407 0.06731942
0.76825015 0.08888313 0.01449139 2.55717235 1.06138999 0.09588124
0.65823270 0.13772721 0.02113344 3.21001224 0.83404064 0.23045125
0.67374013 0.07239397 0.01271558 3.82990281 1.06644571 0.19040190
0.75290124 0.19171622 0.02165924 2.43391459 0.83909412 0.11577294
0.72232977 0.12352225 0.01525347 3.06164622 0.93648657 0.03102177
0.60097811 0.14997228 0.02912167 2.70571229 1.01382248 0.16639757
0.63272639 0.09979506 0.02381578 2.78289891 0.97068087 0.24784309
0.74079070 0.12682900 0.01055935 3.44942596 0.89801649 0.08223754
0.78366059 0.05921367 0.02634138 2.07740172 0.80768944 0.05096759
0.69277463 0.17677613 0.01803346 3.65895255 1.03033755 0.15535754
0.69433282 0.05414408 0.02192715 2.56603135 0.91680842 0.07611922
0.77923429 0.17243864 0.01369798 3.17002740 0.98946370 0.24083137
0.74553477 0.10409132 0.02947937 2.29437109 1.08655645 0.14549465
0.63094885 0.13185742 0.01614545 3.93839092 0.86389923 0.04021144
0.61190825 0.11903372 0.01083955 3.55078105 0.82031116 0.12563589
0.71478152 0.14504457 0.02478529 2.21726185 1.04765364 0.20115799
0.76076726 0.07728962 0.01838009 3.34087311 0.95761283 0.17251583
0.66259064 0.19617272 0.02724504 2.92240820 0.88026782 0.03803354
0.65387926 0.09392554 0.01882719 2.05305765 1.01818612 0.06126717
0.76963707 0.14203694 0.02554795 3.71467089 0.94083876 0.13569077
0.70469064 0.06037539 0.01132814 2.83657306 0.85275951 0.22063992
0.62174228 0.16620276 0.02304669 3.42688194 1.08009966 0.08505887
0.64020932 0.08293270 0.02772737 3.06856901 1.03536037 0.02072954
0.73643282 0.19051590 0.01664746 2.66766700 0.81270080 0.18607170
0.78867766 0.10827972 0.02024106 3.78981330 0.91248755 0.21759776
0.68463250 0.15580315 0.01413406 2.44263746 0.98514049 0.11294431
0.68264390 0.08107125 0.01535860 2.88072313 0.83158119 0.09191405
0.79071432 0.18294356 0.02901626 3.35190715 1.05423640 0.22738762
0.73378582 0.11461209 0.01292357 2.22966930 0.96622783 0.13128208
0.64290594 0.15876839 0.02145160 3.50650209 0.89357054 0.05676042
0.62365764 0.09205222 0.02675871 3.98998263 0.92192639 0.10984839
0.70282487 0.13444872 0.01761646 2.27365142 0.99926882 0.21460906
0.77245500 0.06671449 0.02433535 3.15165769 1.09898032 0.18672107
0.65110942 0.16917071 0.01003952 2.61600576 0.87163527 0.02147724
0.66680015 0.12083195 0.02349643 2.48445628 1.02903419 0.04699579
0.75650814 0.15255311 0.01212843 3.77888249 0.80168689 0.15229858
0.71833264 0.07087571 0.02603455 2.65517967 0.89885546 0.23637592
0.60830910 0.19312537 0.01959063 3.11267653 0.97619567 0.07167394
0.62656842 0.05593529 0.01490874 3.37545401 1.00805106 0.03499360
0.74986711 0.17994533 0.02071642 2.85736497 0.93539154 0.16945656
0.77575645 0.09768843 0.01743412 3.73292972 0.84527948 0.20186910
0.69776110 0.12882624 0.02819075 2.00294185 1.06793247 0.12633657
0.69012683 0.10260723 0.01177050 3.22105021 0.87910864 0.16151284
0.78635643 0.13330529 0.02260467 2.51549120 0.95175906 0.02606828
0.73880288 0.05148827 0.01932295 3.88736286 1.04922275 0.12213742
0.63476384 0.17505858 0.02505191 2.34490502 0.82656066 0.19668820
0.60379678 0.07522202 0.02037001 2.14279446 0.85797903 0.15649766
0.71956067 0.19820438 0.01400486 3.62475073 1.08531722 0.05217674
0.75481586 0.11579413 0.02791033 2.99686651 0.99491435 0.07961773
0.67187362 0.14824801 0.01646484 3.26689343 0.91756504 0.24530119
0.66178303 0.06182344 0.02992176 3.64802543 0.98048606 0.20659927
0.76465021 0.16471884 0.01570342 2.11922424 0.90313441 0.10097450
0.71084976 0.09654530 0.02242294 3.49353742 0.81542553 0.01722652
0.61266703 0.13938095 0.01320192 2.77041552 1.04276137 0.18160640
0.64420760 0.11031127 0.01850906 2.72650790 1.07302852 0.23163839
0.72910298 0.15373544 0.02711581 3.01022198 0.85036410 0.09702866
0.79561727 0.08613625 0.01102252 2.38380273 0.94978935 0.06477017
0.68102524 0.18727641 0.02460264 3.84816558 1.02243742 0.14015604
0.67873705 0.06867814 0.01036395 2.10842929 1.05569217 0.24961089
0.79461988 0.16719733 0.02401123 3.62749493 0.82834943 0.08422022
0.72987864 0.09021645 0.01791640 2.75193100 0.89035699 0.04898078
0.64681136 0.13629307 0.02645847 3.48094229 0.96770174 0.15359485
0.61506477 0.11394789 0.02177657 3.03067918 0.99779490 0.19214974
0.71141940 0.15944117 0.01259830 2.73722955 0.92513995 0.11777468
0.76386189 0.08186276 0.02931689 3.86093321 0.87486701 0.02902425
0.65970392 0.18214232 0.01505828 2.40245975 1.09752456 0.16464466
