# h        omch2      ombh2      ln(10^10*As)    ns    tau
0.61795627 0.11327484 0.01182566 2.23508403 0.88311430 0.19914225
0.78627434 0.10496061 0.01192185 3.16935169 0.86956512 0.17121606
0.75922045 0.11331863 0.02195737 2.53022632 0.82292261 0.12694690
0.64773676 0.16850664 0.02014849 2.79487477 0.86506374 0.02864324
0.75385846 0.16539939 0.01241944 2.74754587 0.98353145 0.03938414
0.64997219 0.05542105 0.02729660 2.63050362 0.86988902 0.04148017
0.73115461 0.17689079 0.01198607 2.11509071 1.08376605 0.15724066
0.75098434 0.12221655 0.02832143 2.93341529 1.06102038 0.03372667
0.74047124 0.12089720 0.01249459 2.79149548 0.96413505 0.09052346
0.64965212 0.06752250 0.01477188 2.06639997 0.81472416 0.18430118
0.77485568 0.14366090 0.01083201 2.95118404 0.80699481 0.02284766
0.68398529 0.07471286 0.01504545 2.13497103 0.82599393 0.04184303
0.72154767 0.10585799 0.02611490 2.10338756 1.02252340 0.20973081
0.78524414 0.06260603 0.02533675 2.83148040 1.05657142 0.20540400
0.71376402 0.17507765 0.01218414 2.68805866 1.04326751 0.17986845
0.66192351 0.09507652 0.02569554 3.26814282 0.83711497 0.23445626
0.74494096 0.19997811 0.02350731 2.07526646 1.09075488 0.18810104
0.67486426 0.06092158 0.01947065 3.18129112 1.04847457 0.06409247
0.78497756 0.06575240 0.01529203 2.75644486 0.84302582 0.21779348
0.61757900 0.06419368 0.01512966 3.56062319 1.00269806 0.13724421
0.73056722 0.07215510 0.01578776 2.16540742 1.02509388 0.22141676
0.69266729 0.08590206 0.02582177 3.25320665 0.94283797 0.10286492
0.69694390 0.11244768 0.02562836 2.72764071 0.80743409 0.11075543
0.77593040 0.12710693 0.02118860 3.83917596 0.93024774 0.18644794
0.64902745 0.11573712 0.01141050 3.20221214 0.87988154 0.06334929
0.73744554 0.11215667 0.01490297 3.01020773 0.81199810 0.24891576
0.71346008 0.15349134 0.01711130 2.06265534 0.90193580 0.24496642
0.63452121 0.15991015 0.02521086 3.87397295 1.05359687 0.20005851
0.64234451 0.08761792 0.02541065 2.73703087 0.98501093 0.24182915
0.73017257 0.09479909 0.01658349 2.91822563 0.88938587 0.15947483
0.74852152 0.16774581 0.02663151 3.37180418 1.02747647 0.05971316
0.78773045 0.05066116 0.02748023 3.96397450 1.06640207 0.11577533
0.60782431 0.10839984 0.02109565 3.53592654 1.01572429 0.17024520
0.75483685 0.11072196 0.01695641 3.20434543 0.86193111 0.03564919
0.73294686 0.13933825 0.01854750 2.47292481 1.05012175 0.08105199
0.67735728 0.14928569 0.01706924 2.48079951 0.95847876 0.16167413
0.66629275 0.17816789 0.01804148 2.97061901 0.91592252 0.20843031
0.63521280 0.05301127 0.01255310 3.36446353 1.07745301 0.15916080
0.63039113 0.05537936 0.01778705 2.14975760 0.86061925 0.05131655
0.71756625 0.11289921 0.01384192 3.09058605 0.81795444 0.13487655
0.70798522 0.16262824 0.01998850 2.30995715 0.93011280 0.04049287
0.63791627 0.14429311 0.01615551 2.11835549 0.91474228 0.01120334
0.78014605 0.05733546 0.02675963 2.71497049 0.90515166 0.20111616
0.62274907 0.13940684 0.02809193 3.48097309 0.97873712 0.22533296
0.72297762 0.15240411 0.01132598 3.41931890 0.90728874 0.10332940
0.78804959 0.10164726 0.02864976 3.05655419 0.80286185 0.10339806
0.75619959 0.09923450 0.02392605 3.54618713 0.98950343 0.12070790
0.60946766 0.18549347 0.02485173 3.13085349 0.94140919 0.02502917
0.62067138 0.11866965 0.01231890 2.18806473 1.05022158 0.02034866
0.76373940 0.15803389 0.01448548 2.36981316 1.03087927 0.01150463
0.69751579 0.06523673 0.02617854 2.32127705 0.89468325 0.20713035
0.66258648 0.15357585 0.01835697 2.99575322 0.83244968 0.23499729
0.79390399 0.18118339 0.01367020 3.55393004 0.97383510 0.10501745
0.72225020 0.19357441 0.01365759 3.21261061 0.88026784 0.11371347
0.60508199 0.17724824 0.01167603 3.34522676 1.03548751 0.10725727
0.73823832 0.10281565 0.01656426 3.46100959 0.85883860 0.07515846
0.76208725 0.05040065 0.01057778 3.75431520 0.81327911 0.09341778
